"G","total_n","pattern","n_per_group","avg_group_size","min_group_size","n_reps_used","mean_ssr","sd_ssr","ci_low_ssr","ci_high_ssr","mean_drift","sd_drift","ci_low_drift","ci_high_drift","mean_ctx","sd_ctx","ci_low_ctx","ci_high_ctx","mean_tpg","sd_tpg","ci_low_tpg","ci_high_tpg","mean_css","sd_css","ci_low_css","ci_high_css","objective"
15,1200,"mild","97,94,92,90,87,85,82,80,77,75,73,70,68,66,64",80,64,30,1,0,1,1,8.03152437271746,1.25525543867474,7.58233698284457,8.48071176259035,7.15047221095741,1.12383374801265,6.74831346910497,7.55263095280985,0.0173008476474234,0.00387777352025346,0.0159132042145299,0.0186884910803169,0.123214504823193,0.0132161969529111,0.118485149482106,0.127943860164279,8.03152437271746
40,1200,"mild","37,36,36,36,35,35,35,34,34,34,33,33,33,33,32,32,32,31,30,30,29,29,29,28,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,24",30,24,30,0.994337606837607,0.016320525959244,0.988497381628366,1.00017783204685,17.558675235026,3.31272761722581,16.3732308817138,18.7441195883383,14.5097008730336,2.65024681200824,13.5613222312635,15.4580795148038,0.0506348635912848,0.00617478695303261,0.0484252444580013,0.0528444827245684,0.208925479589486,0.0185557823568926,0.202285378151056,0.215565581027917,17.5643376281884
2,3000,"mild","1800,1200",1500,1200,30,1,0,1,1,0.929921623659895,0.485141955177671,0.756315804597155,1.10352744272264,0.906119340695658,0.474174967858763,0.736438007643311,1.07580067374801,0.000556774842273998,0.000400505399245987,0.000413455825781833,0.000700093858766162,0.0298988434153681,0.0174013881492871,0.0236718366388066,0.0361258501919296,0.929921623659895
3,3000,"mild","1200,1000,800",1000,800,30,1,0,1,1,1.87979936742083,0.472291001353988,1.71079220312395,2.04880653171771,1.81830275835811,0.458281213833335,1.65430893213983,1.98229658457639,0.00104894774987708,0.000384863524757921,0.000911226106284118,0.00118666939347004,0.0357744471603243,0.0150100614152985,0.030403165665549,0.0411457286550996,1.87979936742083
5,3000,"mild","720,660,600,540,480",600,480,30,1,0,1,1,3.04985833149576,0.919381594393659,2.72086185320218,3.37885480978935,2.91646161190579,0.880807543959507,2.60126868028285,3.23165454352872,0.00201366587911653,0.000756325998797041,0.00174301809634227,0.00228431366189079,0.0459417798955985,0.0132158458101634,0.0412125502093306,0.0506710095818664,3.04985833149576
15,3000,"mild","241,235,229,223,218,212,205,200,194,188,182,177,171,165,160",200,160,30,1,0,1,1,7.88957057771229,1.25501189003638,7.44047034060034,8.33867081482423,7.29809403276493,1.16680779572808,6.88055722543607,7.71563084009378,0.00736282578521088,0.00161840534747838,0.00678368686942363,0.00794196470099813,0.080977785163193,0.0113824534736035,0.0769046264987258,0.0850509438276602,7.88957057771229
40,3000,"mild","91,90,89,88,87,87,86,85,84,84,83,82,81,81,80,79,78,77,76,75,74,73,73,72,71,70,70,69,68,67,66,66,65,64,63,63,62,61,60,60",75,60,30,1,0,1,1,16.4635935699579,2.11662088219813,15.7061705147518,17.2210166251639,14.5753346327106,1.86907530763575,13.9064946237008,15.2441746417204,0.020084417494292,0.00257174115713653,0.0191641317403243,0.0210047032482597,0.129464302297363,0.00737181478299857,0.126826332256382,0.132102272338343,16.4635935699579
2,6000,"mild","3600,2400",3000,2400,30,1,0,1,1,0.912209719977046,0.518835707715068,0.726546746417309,1.09787269353678,0.893492563060753,0.509642469032746,0.711119347713536,1.07586577840797,0.000260001952497069,0.00019225489671583,0.000191204421265306,0.000328799483728831,0.0219924449671053,0.0130420222895784,0.017325417228827,0.0266594727053837,0.912209719977046
3,6000,"mild","2400,2000,1600",2000,1600,30,1,0,1,1,1.88017649800388,0.641054455819436,1.65077810712343,2.10957488888433,1.82407095305674,0.618935565187853,1.60258770553561,2.04555420057786,0.000546577512624944,0.000285235454635339,0.000444507316058319,0.000648647709191568,0.0307594445051469,0.0102139987284896,0.0271044120012773,0.0344144770090165,1.88017649800388
5,6000,"mild","1440,1320,1200,1080,960",1200,960,30,1,0,1,1,3.25489985018341,1.12521970022609,2.8522451517009,3.65755454866592,3.15303617389419,1.08879365815088,2.76341636716283,3.54265598062556,0.00105814718022,0.000366884597161274,0.0009268592132406,0.0011894351471994,0.0315786247886281,0.00805170384868554,0.028697359570101,0.0344598900071553,3.25489985018341
15,6000,"mild","481,469,458,446,435,423,411,400,388,377,365,354,342,331,320",400,320,30,1,0,1,1,7.74211354358937,1.57100430354495,7.17993687352972,8.30429021364903,7.33198806214718,1.47479864881148,6.80423814349548,7.85973798079887,0.00359084755515625,0.000756863603719382,0.00332000739293124,0.00386168771738127,0.055676742881664,0.00880697026104658,0.0525252090484991,0.0588282767148288,7.74211354358937
40,6000,"mild","181,179,177,176,174,173,171,170,168,167,165,164,162,161,159,157,156,154,152,150,149,147,146,144,143,141,140,138,136,135,133,132,130,129,127,126,124,123,121,120",150,120,30,1,0,1,1,15.7611386814219,1.99865708101738,15.0459284303347,16.4763489325091,14.4434662925891,1.81585772842606,13.7936699497241,15.0932626354541,0.0101385904342392,0.0014411792435751,0.00962287106524453,0.0106543098032339,0.0910874110458709,0.00887161562794179,0.0879127441652574,0.0942620779264845,15.7611386814219
2,30000,"mild","18000,12000",15000,12000,30,1,0,1,1,0.879544002938089,0.454820202922681,0.7167886835682,1.04229932230798,0.870499082029569,0.449400950400451,0.709683017269159,1.03131514678998,5.06248272614844e-05,3.97948795508849e-05,3.63844125020468e-05,6.48652420209219e-05,0.0105162665566355,0.00507348406134844,0.00870074360181374,0.0123317895114572,0.879544002938089
3,30000,"mild","12000,10000,8000",10000,8000,30,1,0,1,1,1.67389426498837,0.604109308853472,1.45771652515854,1.8900720048182,1.65604246825127,0.598881276410326,1.44173555580442,1.87034938069812,8.86782273050526e-05,5.09929295348576e-05,7.04306418224375e-05,0.000106925812787668,0.0112460572604587,0.00385386374960924,0.00986696982910658,0.0126251446918108,1.67389426498837
5,30000,"mild","7200,6600,6000,5400,4800",6000,4800,30,1,0,1,1,3.20096074419476,1.02123425381619,2.83551675981753,3.56640472857199,3.14992695969777,1.00523648780227,2.79020770236668,3.50964621702886,0.00023168103377002,0.000119259395222841,0.000189004607277477,0.000274357460262563,0.016327437338087,0.00307661580696909,0.015226484510961,0.0174283901652129,3.20096074419476
