"model","AgeDecade","DirectChol","pred_BMI"
"pooled","pooled",1.65588235294118,26.860908799342
"pooled","pooled",1.66647058823529,26.79636879289
"pooled","pooled",1.67705882352941,26.7318287864379
"pooled","pooled",1.68764705882353,26.6672887799858
"pooled","pooled",1.69823529411765,26.6027487735338
"pooled","pooled",1.70882352941176,26.5382087670817
"pooled","pooled",1.71941176470588,26.4736687606296
"pooled","pooled",1.73,26.4091287541776
"pooled","pooled",1.74058823529412,26.3445887477255
"pooled","pooled",1.75117647058824,26.2800487412734
"pooled","pooled",1.76176470588235,26.2155087348213
"pooled","pooled",1.77235294117647,26.1509687283693
"pooled","pooled",1.78294117647059,26.0864287219172
"pooled","pooled",1.79352941176471,26.0218887154651
"pooled","pooled",1.80411764705882,25.9573487090131
"pooled","pooled",1.81470588235294,25.892808702561
"pooled","pooled",1.82529411764706,25.8282686961089
"pooled","pooled",1.83588235294118,25.7637286896569
"pooled","pooled",1.84647058823529,25.6991886832048
"pooled","pooled",1.85705882352941,25.6346486767527
"pooled","pooled",1.86764705882353,25.5701086703007
"pooled","pooled",1.87823529411765,25.5055686638486
"pooled","pooled",1.88882352941176,25.4410286573965
"pooled","pooled",1.89941176470588,25.3764886509445
"pooled","pooled",1.91,25.3119486444924
"pooled","pooled",1.92058823529412,25.2474086380403
"pooled","pooled",1.93117647058823,25.1828686315883
"pooled","pooled",1.94176470588235,25.1183286251362
"pooled","pooled",1.95235294117647,25.0537886186841
"pooled","pooled",1.96294117647059,24.9892486122321
"pooled","pooled",1.97352941176471,24.92470860578
"pooled","pooled",1.98411764705882,24.8601685993279
"pooled","pooled",1.99470588235294,24.7956285928759
"pooled","pooled",2.00529411764706,24.7310885864238
"pooled","pooled",2.01588235294118,24.6665485799717
"pooled","pooled",2.02647058823529,24.6020085735197
"pooled","pooled",2.03705882352941,24.5374685670676
"pooled","pooled",2.04764705882353,24.4729285606155
"pooled","pooled",2.05823529411765,24.4083885541635
"pooled","pooled",2.06882352941176,24.3438485477114
"pooled","pooled",2.07941176470588,24.2793085412593
"pooled","pooled",2.09,24.2147685348073
"group"," 0-9",0.83,22.2228668479377
"group"," 0-9",0.840588235294118,22.192532871657
"group"," 0-9",0.851176470588235,22.1621988953762
"group"," 0-9",0.861764705882353,22.1318649190954
"group"," 0-9",0.872352941176471,22.1015309428147
"group"," 0-9",0.882941176470588,22.0711969665339
"group"," 0-9",0.893529411764706,22.0408629902531
"group"," 0-9",0.904117647058823,22.0105290139724
"group"," 0-9",0.914705882352941,21.9801950376916
"group"," 0-9",0.925294117647059,21.9498610614108
"group"," 0-9",0.935882352941176,21.91952708513
"group"," 0-9",0.946470588235294,21.8891931088493
"group"," 0-9",0.957058823529412,21.8588591325685
"group"," 0-9",0.967647058823529,21.8285251562877
"group"," 0-9",0.978235294117647,21.798191180007
"group"," 0-9",0.988823529411765,21.7678572037262
"group"," 0-9",0.999411764705882,21.7375232274454
"group"," 0-9",1.01,21.7071892511647
"group"," 0-9",1.02058823529412,21.6768552748839
"group"," 0-9",1.03117647058824,21.6465212986031
"group"," 0-9",1.04176470588235,21.6161873223224
"group"," 0-9",1.05235294117647,21.5858533460416
"group"," 0-9",1.06294117647059,21.5555193697608
"group"," 0-9",1.07352941176471,21.5251853934801
"group"," 0-9",1.08411764705882,21.4948514171993
"group"," 0-9",1.09470588235294,21.4645174409185
"group"," 0-9",1.10529411764706,21.4341834646377
"group"," 0-9",1.11588235294118,21.403849488357
"group"," 0-9",1.12647058823529,21.3735155120762
"group"," 0-9",1.13705882352941,21.3431815357954
"group"," 0-9",1.14764705882353,21.3128475595147
"group"," 0-9",1.15823529411765,21.2825135832339
"group"," 0-9",1.16882352941176,21.2521796069531
"group"," 0-9",1.17941176470588,21.2218456306724
"group"," 0-9",1.19,21.1915116543916
"group"," 0-9",1.20058823529412,21.1611776781108
"group"," 0-9",1.21117647058824,21.1308437018301
"group"," 0-9",1.22176470588235,21.1005097255493
"group"," 0-9",1.23235294117647,21.0701757492685
"group"," 0-9",1.24294117647059,21.0398417729877
"group"," 0-9",1.25352941176471,21.009507796707
"group"," 0-9",1.26411764705882,20.9791738204262
"group"," 0-9",1.27470588235294,20.9488398441454
"group"," 0-9",1.28529411764706,20.9185058678647
"group"," 0-9",1.29588235294118,20.8881718915839
"group"," 0-9",1.30647058823529,20.8578379153031
"group"," 0-9",1.31705882352941,20.8275039390224
"group"," 0-9",1.32764705882353,20.7971699627416
"group"," 0-9",1.33823529411765,20.7668359864608
"group"," 0-9",1.34882352941176,20.7365020101801
"group"," 0-9",1.35941176470588,20.7061680338993
"group"," 0-9",1.37,20.6758340576185
"group"," 0-9",1.38058823529412,20.6455000813378
"group"," 0-9",1.39117647058824,20.615166105057
"group"," 0-9",1.40176470588235,20.5848321287762
"group"," 0-9",1.41235294117647,20.5544981524954
"group"," 0-9",1.42294117647059,20.5241641762147
"group"," 0-9",1.43352941176471,20.4938301999339
"group"," 0-9",1.44411764705882,20.4634962236531
"group"," 0-9",1.45470588235294,20.4331622473724
"group"," 0-9",1.46529411764706,20.4028282710916
"group"," 0-9",1.47588235294118,20.3724942948108
"group"," 0-9",1.48647058823529,20.3421603185301
"group"," 0-9",1.49705882352941,20.3118263422493
"group"," 0-9",1.50764705882353,20.2814923659685
"group"," 0-9",1.51823529411765,20.2511583896878
"group"," 0-9",1.52882352941176,20.220824413407
"group"," 0-9",1.53941176470588,20.1904904371262
"group"," 0-9",1.55,20.1601564608455
"group"," 0-9",1.56058823529412,20.1298224845647
"group"," 0-9",1.57117647058823,20.0994885082839
"group"," 0-9",1.58176470588235,20.0691545320031
"group"," 0-9",1.59235294117647,20.0388205557224
"group"," 0-9",1.60294117647059,20.0084865794416
"group"," 0-9",1.61352941176471,19.9781526031608
"group"," 0-9",1.62411764705882,19.9478186268801
"group"," 0-9",1.63470588235294,19.9174846505993
"group"," 0-9",1.64529411764706,19.8871506743185
"group"," 0-9",1.65588235294118,19.8568166980378
"group"," 0-9",1.66647058823529,19.826482721757
"group"," 0-9",1.67705882352941,19.7961487454762
"group"," 0-9",1.68764705882353,19.7658147691955
"group"," 0-9",1.69823529411765,19.7354807929147
"group"," 0-9",1.70882352941176,19.7051468166339
"group"," 0-9",1.71941176470588,19.6748128403532
"group"," 0-9",1.73,19.6444788640724
"group"," 0-9",1.74058823529412,19.6141448877916
"group"," 0-9",1.75117647058824,19.5838109115108
"group"," 0-9",1.76176470588235,19.5534769352301
"group"," 0-9",1.77235294117647,19.5231429589493
"group"," 0-9",1.78294117647059,19.4928089826685
"group"," 0-9",1.79352941176471,19.4624750063878
"group"," 0-9",1.80411764705882,19.432141030107
"group"," 0-9",1.81470588235294,19.4018070538262
"group"," 0-9",1.82529411764706,19.3714730775455
"group"," 0-9",1.83588235294118,19.3411391012647
"group"," 0-9",1.84647058823529,19.3108051249839
"group"," 0-9",1.85705882352941,19.2804711487032
"group"," 0-9",1.86764705882353,19.2501371724224
"group"," 0-9",1.87823529411765,19.2198031961416
"group"," 0-9",1.88882352941176,19.1894692198609
"group"," 0-9",1.89941176470588,19.1591352435801
"group"," 0-9",1.91,19.1288012672993
"group"," 0-9",1.92058823529412,19.0984672910185
"group"," 0-9",1.93117647058823,19.0681333147378
"group"," 0-9",1.94176470588235,19.037799338457
"group"," 0-9",1.95235294117647,19.0074653621762
"group"," 0-9",1.96294117647059,18.9771313858955
"group"," 0-9",1.97352941176471,18.9467974096147
"group"," 0-9",1.98411764705882,18.9164634333339
"group"," 0-9",1.99470588235294,18.8861294570532
"group"," 0-9",2.00529411764706,18.8557954807724
"group"," 0-9",2.01588235294118,18.8254615044916
"group"," 0-9",2.02647058823529,18.7951275282109
"group"," 0-9",2.03705882352941,18.7647935519301
"group"," 0-9",2.04764705882353,18.7344595756493
"group"," 0-9",2.05823529411765,18.7041255993686
"group"," 0-9",2.06882352941176,18.6737916230878
"group"," 0-9",2.07941176470588,18.643457646807
"group"," 0-9",2.09,18.6131236705262
"group"," 10-19",0.83,29.8488592875307
"group"," 10-19",0.840588235294118,29.7754930279769
"group"," 10-19",0.851176470588235,29.7021267684231
"group"," 10-19",0.861764705882353,29.6287605088693
"group"," 10-19",0.872352941176471,29.5553942493155
"group"," 10-19",0.882941176470588,29.4820279897616
"group"," 10-19",0.893529411764706,29.4086617302078
"group"," 10-19",0.904117647058823,29.335295470654
"group"," 10-19",0.914705882352941,29.2619292111002
"group"," 10-19",0.925294117647059,29.1885629515464
"group"," 10-19",0.935882352941176,29.1151966919926
"group"," 10-19",0.946470588235294,29.0418304324388
"group"," 10-19",0.957058823529412,28.9684641728849
"group"," 10-19",0.967647058823529,28.8950979133311
"group"," 10-19",0.978235294117647,28.8217316537773
"group"," 10-19",0.988823529411765,28.7483653942235
"group"," 10-19",0.999411764705882,28.6749991346697
"group"," 10-19",1.01,28.6016328751159
"group"," 10-19",1.02058823529412,28.5282666155621
"group"," 10-19",1.03117647058824,28.4549003560082
"group"," 10-19",1.04176470588235,28.3815340964544
"group"," 10-19",1.05235294117647,28.3081678369006
"group"," 10-19",1.06294117647059,28.2348015773468
"group"," 10-19",1.07352941176471,28.161435317793
"group"," 10-19",1.08411764705882,28.0880690582392
"group"," 10-19",1.09470588235294,28.0147027986854
"group"," 10-19",1.10529411764706,27.9413365391315
"group"," 10-19",1.11588235294118,27.8679702795777
"group"," 10-19",1.12647058823529,27.7946040200239
"group"," 10-19",1.13705882352941,27.7212377604701
"group"," 10-19",1.14764705882353,27.6478715009163
"group"," 10-19",1.15823529411765,27.5745052413625
"group"," 10-19",1.16882352941176,27.5011389818087
"group"," 10-19",1.17941176470588,27.4277727222548
"group"," 10-19",1.19,27.354406462701
"group"," 10-19",1.20058823529412,27.2810402031472
"group"," 10-19",1.21117647058824,27.2076739435934
"group"," 10-19",1.22176470588235,27.1343076840396
"group"," 10-19",1.23235294117647,27.0609414244858
"group"," 10-19",1.24294117647059,26.987575164932
"group"," 10-19",1.25352941176471,26.9142089053781
"group"," 10-19",1.26411764705882,26.8408426458243
"group"," 10-19",1.27470588235294,26.7674763862705
"group"," 10-19",1.28529411764706,26.6941101267167
"group"," 10-19",1.29588235294118,26.6207438671629
"group"," 10-19",1.30647058823529,26.5473776076091
"group"," 10-19",1.31705882352941,26.4740113480553
"group"," 10-19",1.32764705882353,26.4006450885014
"group"," 10-19",1.33823529411765,26.3272788289476
"group"," 10-19",1.34882352941176,26.2539125693938
"group"," 10-19",1.35941176470588,26.18054630984
"group"," 10-19",1.37,26.1071800502862
"group"," 10-19",1.38058823529412,26.0338137907324
"group"," 10-19",1.39117647058824,25.9604475311786
"group"," 10-19",1.40176470588235,25.8870812716247
"group"," 10-19",1.41235294117647,25.8137150120709
"group"," 10-19",1.42294117647059,25.7403487525171
"group"," 10-19",1.43352941176471,25.6669824929633
"group"," 10-19",1.44411764705882,25.5936162334095
"group"," 10-19",1.45470588235294,25.5202499738557
"group"," 10-19",1.46529411764706,25.4468837143019
"group"," 10-19",1.47588235294118,25.373517454748
"group"," 10-19",1.48647058823529,25.3001511951942
"group"," 10-19",1.49705882352941,25.2267849356404
"group"," 10-19",1.50764705882353,25.1534186760866
"group"," 10-19",1.51823529411765,25.0800524165328
